participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,space,26.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,,,space,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,,,,,space,4.53,0,0,0,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,,,,,space,3.885,0,1,1,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,,,,,space,4.026,0,2,2,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,,,,,space,3.334,0,3,3,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,,,,,space,0.774,0,4,4,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,,,,,space,3.601,0,5,5,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563e35190980220011572d9a,2023-06-16_10h31.04.674,phx_ver10,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_ixi.wav,azha.jpg,LEFT,,f,3.264,space,4.378,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
