participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,space,5.3048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,space,2.9777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,3.1604,0,0,0,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,1.8847,0,1,1,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,1.6386,0,2,2,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,1.0557,0,3,3,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,1.4441,0,4,4,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,2.1934,0,5,5,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,5.0563,space,7.2625,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,0.9209,0,6,6,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,1.0891,0,7,7,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,0.5806,0,8,8,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56b88bf7e1d0a2000b145037,2023-06-16_10h08.32.543,phx_ver10,2022.2.5,Win32,66.64889363,,,,,space,0.503,0,9,9,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
