participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,space,3.4122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,space,1.2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,1.5365,0,0,0,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.8838,0,1,1,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,2.7542,0,2,2,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.6936,0,3,3,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.5162,0,4,4,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,1.1003,0,5,5,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,j,5.8314,space,6.5921,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.5118,0,6,6,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.317,0,7,7,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.3055,0,8,8,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.7225,0,9,9,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.4495,0,10,10,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.2251,0,11,11,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_1_izhi.wav,ezhe.jpg,LEFT,,f,0.0336,space,0.6836,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.3678,0,12,12,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.387,0,13,13,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.4161,0,14,14,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.0427,0,15,15,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.0616,0,16,16,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.3002,0,17,17,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_ixi.wav,exe.jpg,LEFT,,f,0.4339,space,1.2011,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.4447,0,18,18,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.3362,0,19,19,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770de783ac68100019d77af,2023-06-16_19h15.51.989,phx_ver10,2022.2.5,Win32,59.84798612,,,,,space,0.7751,0,20,20,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
