participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,space,2.9152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,space,0.7176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.8963,0,0,0,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.5823,0,1,1,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.4404,0,2,2,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.4003,0,3,3,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.3712,0,4,4,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.8009,0,5,5,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,2.3526,space,4.7838,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.7894,0,6,6,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.5827,0,7,7,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.4561,0,8,8,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.3686,0,9,9,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.0754,0,10,10,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.0658,0,11,11,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_izhi.wav,ixi.jpg,LEFT,,f,1.4675,space,2.0874,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.8369,0,12,12,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.0033,0,13,13,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.0509,0,14,14,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.3499,0,15,15,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.3435,0,16,16,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.275,0,17,17,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,f,0.4994,space,0.9156,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.5583,0,18,18,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.1399,0,19,19,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57754d57ca706f000190eaf1,2023-06-16_10h11.38.274,phx_ver10,2022.2.5,Win32,59.86948452,,,,,space,0.3338,0,20,20,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
