participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,space,3.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,space,0.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,space,2.2693,0,0,0,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,space,0.3695,0,1,1,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,space,1.3862,0,2,2,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,space,1.2023,0,3,3,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,space,0.6029,0,4,4,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,space,0.5187,0,5,5,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_azha.wav,exe.jpg,LEFT,,f,0.9028,space,2.3104,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,space,1.4192,0,6,6,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57a2319b4d107800016ddccc,2023-06-16_10h43.36.336,phx_ver10,2022.2.5,Win32,60.4814322,,,,,space,0.4501,0,7,7,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
