participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,space,0.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,space,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,space,1.3347,0,0,0,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,space,0.5674,0,1,1,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,space,0.1338,0,2,2,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,space,0.2798,0,3,3,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,space,0.1339,0,4,4,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,space,0.5021,0,5,5,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,f,3.0005,space,3.7839,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,space,0.5175,0,6,6,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,space,0.6002,0,7,7,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587a40cfd22a5800014c5ad1,2023-06-16_10h04.52.512,phx_ver10,2022.2.5,Win32,59.91970759,,,,,space,0.267,0,8,8,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
