participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,space,6.1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,space,1.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,space,1.2521,0,0,0,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,space,1.1352,0,1,1,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,space,1.1368,0,2,2,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,space,1.9163,0,3,3,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,space,2.0827,0,4,4,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,space,1.0852,0,5,5,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_ixi.wav,axa.jpg,LEFT,,f,0.861,space,2.6767,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,space,1.6108,0,6,6,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,space,1.2037,0,7,7,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59e675a6c0d35a00012951ce,2023-06-16_10h30.48.571,phx_ver10,2022.2.5,Linux x86_64,60.06006006,,,,,space,0.9762,0,8,8,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
