participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,space,5.9164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,space,2.2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,,,space,1.2892,0,0,0,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,,,space,2.5872,0,1,1,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,,,space,2.0894,0,2,2,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,,,space,0.9659,0,3,3,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,,,space,1.4761,0,4,4,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,,,space,1.2523,0,5,5,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,3.1527,space,6.6877,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5a0c036857cee70001767a58,2023-06-16_10h19.28.157,phx_ver10,2022.2.5,Win32,59.78715772,,,,,space,2.1188,0,6,6,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
