participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,space,2.858299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,space,1.7939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,1.366300001,0,0,0,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,0.791800001,0,1,1,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,3.029799999,0,2,2,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,52.9983,0,3,3,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,0.9551,0,4,4,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,0.5401,0,5,5,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,f,7.149799999,space,7.763700001,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,0.8214,0,6,6,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,1.6035,0,7,7,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,0.745900002,0,8,8,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a4e26a8f4c9dc0001b7a1b5,2023-06-16_10h00.48.831,phx_ver10,2022.2.5,Win32,20.39068553,,,,,space,1.171300001,0,9,9,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
