participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,space,8.7758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,space,3.9252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,2.4057,0,0,0,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,1.0025,0,1,1,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,1.3893,0,2,2,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,2.7735,0,3,3,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,1.4861,0,4,4,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,1.1536,0,5,5,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_1_azha.wav,axa.jpg,LEFT,,f,9.3501,space,13.9827,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,1.1552,0,6,6,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,1.5364,0,7,7,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,0.7857,0,8,8,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a9e9fc46219a30001f54994,2023-06-16_10h23.53.481,phx_ver10,2022.2.5,MacIntel,59.93407252,,,,,space,0.8687,0,9,9,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
