participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,space,11.6956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,space,1.6815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,4.8837,0,0,0,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,3.167,0,1,1,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,3.2995,0,2,2,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,3.6335,0,3,3,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,5.1838,0,4,4,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,4.0501,0,5,5,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_ixi.wav,exe.jpg,LEFT,,f,13.6331,space,19.2662,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.917,0,6,6,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.6335,0,7,7,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.5006,0,8,8,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.3503,0,9,9,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.0674,0,10,10,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.3168,0,11,11,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_1_azha.wav,axa.jpg,LEFT,,f,4.7833,space,6.7339,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,1.3181,0,12,12,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.6004,0,13,13,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,1.1166,0,14,14,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,1.4833,0,15,15,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.3835,0,16,16,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.5006,0,17,17,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_ezhe.wav,ixi.jpg,LEFT,,f,0.4841,space,1.2167,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.4173,0,18,18,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.334,0,19,19,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.384,0,20,20,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.1999,0,21,21,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.284,0,22,22,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.3177,0,23,23,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,j,4.1001,space,4.4672,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,1.4499,0,24,24,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.4335,0,25,25,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,1.8338,0,26,26,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.3667,0,27,27,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.2676,0,28,28,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5aa8ebf089de8200013f8c48,2023-06-16_05h23.22.990,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.3669,0,29,29,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
