participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,space,3.7518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,,,space,5.7427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,,,,,space,1.3695,0,0,0,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,,,,,space,0.3029,0,1,1,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,,,,,space,0.2636,0,2,2,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,,,,,space,0.3406,0,3,3,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,,,,,space,0.2748,0,4,4,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,,,,,space,0.3372,0,5,5,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b216d7dc33f820001a2e1ef,2023-06-16_10h02.39.207,phx_ver10,2022.2.5,Win32,61.2257393,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_azha.wav,ixi.jpg,LEFT,,f,7.7366,space,9.7715,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
