participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,space,11.0831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,space,1.1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,1.7053,0,0,0,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.8279,0,1,1,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.6503,0,2,2,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5891,0,3,3,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.2679,0,4,4,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5342,0,5,5,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,exe.jpg,LEFT,,f,2.3605,space,3.8805,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,1.2004,0,6,6,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5431,0,7,7,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.7093,0,8,8,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5537,0,9,9,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5657,0,10,10,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.598,0,11,11,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,azha.jpg,LEFT,,j,2.3833,space,3.4439,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,1.3857,0,12,12,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.7404,0,13,13,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.2853,0,14,14,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5316,0,15,15,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.2988,0,16,16,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.2518,0,17,17,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_ezhe.wav,exe.jpg,LEFT,,j,1.0504,space,2.123,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.9009,0,18,18,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5838,0,19,19,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5178,0,20,20,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.2842,0,21,21,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,2.8137,0,22,22,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.7391,0,23,23,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_axa.wav,azha.jpg,LEFT,,f,0.6679,space,1.0321,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.7892,0,24,24,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,2.1703,0,25,25,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.743,0,26,26,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,2.1344,0,27,27,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,2.3621,0,28,28,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,1.6134,0,29,29,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_exe.wav,axa.jpg,LEFT,,j,0.5644,space,0.7684,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.4345,0,30,30,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.2605,0,31,31,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,2.2212,0,32,32,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.6869,0,33,33,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.4853,0,34,34,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.3316,0,35,35,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_azha.wav,izhi.jpg,LEFT,,f,0.0712,space,1.0525,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,1.9849,0,36,36,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.1331,0,37,37,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.4214,0,38,38,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.5249,0,39,39,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,0.4043,0,40,40,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,space,2.004,0,41,41,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b61d0768de04c000171cf1b,2023-06-16_10h31.08.928,phx_ver10,2022.2.5,Win32,60.06727535,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_axa.wav,izhi.jpg,LEFT,,f,0.6152,space,0.9711,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
