participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,space,3.9398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,,,space,0.9862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,1.0054,0,0,0,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,1.0401,0,1,1,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.4394,0,2,2,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.0678,0,3,3,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.5903,0,4,4,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.3172,0,5,5,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b653f0e3662a8000158b83b,2023-06-16_10h03.26.821,phx_ver10,2022.2.5,Win32,59.94485074,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,1.6656,space,2.2988,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
