participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,space,3.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,,,space,1.3841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,,,,,space,5.3611,0,0,0,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,,,,,space,1.6037,0,1,1,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,,,,,space,0.877,0,2,2,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,,,,,space,0.3045,0,3,3,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,,,,,space,0.661,0,4,4,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,,,,,space,0.5686,0,5,5,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b6dbc7d3c02310001e8eb1f,2023-06-16_10h11.08.099,phx_ver10,2022.2.5,Win32,59.96282305,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,0.9084,space,1.6037,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
