participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,space,12.8985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,,,space,3.3355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,,,,,space,10.3831,0,0,0,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,,,,,space,9.95,0,1,1,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,,,,,space,10.0556,0,2,2,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,,,,,space,6.5533,0,3,3,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,,,,,space,6.0395,0,4,4,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,,,,,space,3.1929,0,5,5,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b704c7f4ee52200010f68b0,2023-06-16_10h26.32.326,phx_ver10,2022.2.5,Win32,60.21557175,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_axa.wav,ixi.jpg,LEFT,,f,17.9183,space,24.5024,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
