participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,space,53.2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,space,1.4296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,1.6658,0,0,0,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,2.2676,0,1,1,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,0.2451,0,2,2,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,1.3429,0,3,3,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,0.5041,0,4,4,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,1.2631,0,5,5,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,azha.jpg,LEFT,,f,1.0773,space,3.1574,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,0.7607,0,6,6,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,0.7193,0,7,7,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,1.0613,0,8,8,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,0.6783,0,9,9,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,0.5816,0,10,10,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b7ffeeb05fbbd00016aa0bc,2023-06-16_09h38.16.939,phx_ver10,2022.2.5,Win32,49.99250112,,,,,space,0.1609,0,11,11,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
