participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,space,6.5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,space,1.8492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,6.8781,0,0,0,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,1.7159,0,1,1,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,1.4726,0,2,2,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,1.0489,0,3,3,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,1.0666,0,4,4,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,2.0046,0,5,5,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,f,1.785,space,3.1452,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.9502,0,6,6,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.517,0,7,7,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,1.1858,0,8,8,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,1.6992,0,9,9,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.7705,0,10,10,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.6034,0,11,11,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_ixi.wav,izhi.jpg,LEFT,,f,0.4876,space,1.3873,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.7003,0,12,12,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.333,0,13,13,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.4223,0,14,14,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.4421,0,15,15,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,1.3203,0,16,16,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.753,0,17,17,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_izhi.wav,exe.jpg,LEFT,,f,0.7168,space,1.6062,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,1.0899,0,18,18,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.4996,0,19,19,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.6336,0,20,20,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.5539,0,21,21,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.9024,0,22,22,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.5079,0,23,23,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,0.7436,space,1.5582,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,1.0257,0,24,24,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.6837,0,25,25,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.5168,0,26,26,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b8a709614e8c6000104eafa,2023-06-16_10h31.59.333,phx_ver10,2022.2.5,Win32,60.15399423,,,,,space,0.5005,0,27,27,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
