participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,space,4.5645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,space,0.0756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,0.7373,0,0,0,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,1.365,0,1,1,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,1.4456,0,2,2,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,1.2261,0,3,3,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,0.978,0,4,4,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,0.5448,0,5,5,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,j,2.417,space,4.8331,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,0.7634,0,6,6,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,1.3062,0,7,7,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,0.8157,0,8,8,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ba44c47e671c6000123b4f3,2023-06-16_10h23.25.048,phx_ver10,2022.2.5,MacIntel,40.00160006,,,,,space,0.5984,0,9,9,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
