participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,space,7.1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,space,3.0983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.736,0,0,0,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.1215,0,1,1,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.6031,0,2,2,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.2886,0,3,3,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.4508,0,4,4,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.4008,0,5,5,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_ezhe.wav,exe.jpg,LEFT,,j,4.6824,space,6.9636,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.9516,0,6,6,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.1065,0,7,7,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.1347,0,8,8,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.0676,0,9,9,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.8566,0,10,10,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.6676,0,11,11,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_ixi.wav,exe.jpg,LEFT,,f,0.4995,space,1.6319,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.1203,0,12,12,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.1748,0,13,13,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.6671,0,14,14,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.0189,0,15,15,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.5676,0,16,16,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.1567,0,17,17,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_axa.wav,azha.jpg,LEFT,,f,0.5548,space,1.3162,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.1358,0,18,18,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c069c1566c9ab0001cd8625,2023-06-16_10h01.23.663,phx_ver10,2022.2.5,Win32,59.94485074,,,,,space,0.1334,0,19,19,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
