participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,space,4.4298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,space,2.7589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,3.1639,0,0,0,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,2.0615,0,1,1,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,1.8459,0,2,2,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,2.0658,0,3,3,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,2.0315,0,4,4,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,1.4308,0,5,5,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_1_izhi.wav,axa.jpg,LEFT,,j,2.7638,space,4.9646,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,1.0201,0,6,6,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,1.159,0,7,7,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,0.9339,0,8,8,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,0.5895,0,9,9,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,1.0266,0,10,10,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,0.7092,0,11,11,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,1.2299,space,2.6183,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,0.6246,0,12,12,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c345ebad4f77a0001a91ec0,2023-06-16_11h15.42.681,phx_ver10,2022.2.5,Win32,165.0437366,,,,,space,0.2286,0,13,13,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
