participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,space,1.8243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,space,1.2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,15.6055,0,0,0,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,2.0208,0,1,1,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,1.488,0,2,2,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,1.4799,0,3,3,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,0.8698,0,4,4,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,0.9204,0,5,5,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_exe.wav,azha.jpg,LEFT,,f,1.246,space,2.6139,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,1.3175,0,6,6,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,0.669,0,7,7,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,0.5259,0,8,8,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,0.2177,0,9,9,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,0.2026,0,10,10,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,0.3222,0,11,11,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_ezhe.wav,exe.jpg,LEFT,,j,1.101,space,2.2519,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,1.0336,0,12,12,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,0.5845,0,13,13,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c364ce2ba92810001db13e8,2023-06-16_09h58.41.668,phx_ver10,2022.2.5,Win32,60.04202942,,,,,space,0.485,0,14,14,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
