participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,space,13.3131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,,,space,2.9345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,3.4332,0,0,0,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.3116,0,1,1,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,3.7366,0,2,2,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.5522,0,3,3,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.4988,0,4,4,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.4397,0,5,5,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c79cc22f5b67c0012d5b9ed,2023-06-16_18h38.25.564,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,azha.jpg,LEFT,,f,2.0579,space,3.759,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
