participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,space,11.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,space,6.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,2.198,0,0,0,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.703,0,1,1,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,0.168,0,2,2,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.79,0,3,3,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.735,0,4,4,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,1.401,0,5,5,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_1_azha.wav,axa.jpg,LEFT,,f,10.076,space,12.099,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5c871ab7de75d4001602869d,2023-06-16_10h07.50.809,phx_ver10,2022.2.5,Win32,60.0240096,,,,,space,0.941,0,6,6,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
