participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,space,1.2932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,space,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.7613,0,0,0,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.6696,0,1,1,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.4516,0,2,2,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.3863,0,3,3,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.3821,0,4,4,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.466,0,5,5,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_ixi.wav,axa.jpg,LEFT,,f,0.3867,space,1.9953,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.602,0,6,6,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.4026,0,7,7,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.2823,0,8,8,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.2378,0,9,9,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.2861,0,10,10,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.3332,0,11,11,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,0.2151,space,2.1815,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.4079,0,12,12,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.4383,0,13,13,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.399,0,14,14,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.3574,0,15,15,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.482,0,16,16,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.4546,0,17,17,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_izhi.wav,ixi.jpg,LEFT,,f,0.023,space,0.6693,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.4487,0,18,18,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.3708,0,19,19,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.3741,0,20,20,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.3869,0,21,21,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5cc9c62a55b70600013702d3,2023-06-16_10h16.21.259,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.5231,0,22,22,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
