participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,space,2.9446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,space,0.5468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,2.9357,0,0,0,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,1.7663,0,1,1,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,3.3636,0,2,2,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,1.1352,0,3,3,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,0.9053,0,4,4,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,1.7184,0,5,5,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_axa.wav,azha.jpg,LEFT,,f,0.2011,space,3.2459,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,0.7764,0,6,6,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,0.3575,0,7,7,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,0.404,0,8,8,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d03d07ff00f5100014d1204,2023-06-16_10h12.23.114,phx_ver10,2022.2.5,Win32,59.99160118,,,,,space,0.7043,0,9,9,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
