participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,space,1.7507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,,,space,1.7337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,3.6428,0,0,0,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.7989,0,1,1,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.2875,0,2,2,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.7098,0,3,3,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.1692,0,4,4,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.6464,0,5,5,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d410f4d037fb000173a2832,2023-06-16_21h18.52.832,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_axa.wav,ixi.jpg,LEFT,,f,1.4912,space,4.2207,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
