participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,space,25.7085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,space,0.2243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,3.1477,0,0,0,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,7.9472,0,1,1,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,4.2724,0,2,2,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,2.6002,0,3,3,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,1.1024,0,4,4,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,2.524,0,5,5,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,3.0015,space,4.8855,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,1.7582,0,6,6,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,0.7163,0,7,7,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,1.188,0,8,8,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,1.2003,0,9,9,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,0.9545,0,10,10,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,2.0843,0,11,11,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_izhi.wav,azha.jpg,LEFT,,f,3.1175,space,4.3744,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,0.8512,0,12,12,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,3.267,0,13,13,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,2.1004,0,14,14,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,1.7421,0,15,15,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,0.8159,0,16,16,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,space,0.8509,0,17,17,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5320870c2a6a0001cc6c7a,2023-06-16_10h30.33.936,phx_ver10,2022.2.5,Win32,60.14314067,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,0.6853,space,1.4649,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
