participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,space,3.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,,,space,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,1.193,0,0,0,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,1.219,0,1,1,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,0.384,0,2,2,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,0.5,0,3,3,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,0.493,0,4,4,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,,,,,space,1.217,0,5,5,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d7de72016b0a00001c36af3,2023-06-16_21h25.56.462,phx_ver10,2022.2.5,MacIntel,62.5,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_ezhe.wav,ixi.jpg,LEFT,,f,4.905,space,6.888,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
