participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,space,8.4821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,space,3.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,space,9.4867,0,0,0,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,space,2.0687,0,1,1,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,space,1.4855,0,2,2,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,space,3.9016,0,3,3,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,space,2.8183,0,4,4,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,space,2.6021,0,5,5,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_ezhe.wav,izhi.jpg,LEFT,,f,16.6498,space,22.2827,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,space,3.3668,0,6,6,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dac7eaa59f37100128372d5,2023-06-16_10h16.25.776,phx_ver10,2022.2.5,Win32,60.13229104,,,,,space,1.9299,0,7,7,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
