participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,space,3.9645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,space,3.3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,0.9654,0,0,0,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,0.3509,0,1,1,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,1.1853,0,2,2,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,0.0577,0,3,3,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,0.9543,0,4,4,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,1.1736,0,5,5,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,f,6.2025,space,7.7542,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,1.3551,0,6,6,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,0.4704,0,7,7,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,0.4644,0,8,8,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,0.4913,0,9,9,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd6280e238a915cda514060,2023-06-16_10h28.10.831,phx_ver10,2022.2.5,Win32,59.87665409,,,,,space,1.05,0,10,10,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
