participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,space,51.6493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,space,26.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,,,space,8.9995,0,0,0,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,,,space,14.1338,0,1,1,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,,,space,7.77,0,2,2,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,,,space,6.5187,0,3,3,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,,,space,7.0135,0,4,4,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,,,space,5.4707,0,5,5,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_ixi.wav,ezhe.jpg,LEFT,,f,6.5368,space,14.8233,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e07c976f6191f137214e91f,2023-06-16_10h10.56.655,phx_ver10,2022.2.5,Win32,1.882345855,,,,,space,8.5108,0,6,6,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
