participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,space,2.0428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,,,space,0.6949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,,,,,space,1.2932,0,0,0,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,,,,,space,0.2695,0,1,1,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,,,,,space,0.1865,0,2,2,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,,,,,space,0.1665,0,3,3,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,,,,,space,0.1558,0,4,4,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,,,,,space,0.5195,0,5,5,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e08ed25dc265f1e36179f52,2023-06-16_10h06.52.707,phx_ver10,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_izhi.wav,ixi.jpg,LEFT,,j,3.9677,space,4.9859,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
