participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,space,3.3092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,space,1.5677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,1.8168,0,0,0,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,1.8173,0,1,1,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,1.0672,0,2,2,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.5338,0,3,3,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.7009,0,4,4,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.2179,0,5,5,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_ixi.wav,axa.jpg,LEFT,,f,11.6991,space,15.1485,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.7587,0,6,6,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.4548,0,7,7,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.2847,0,8,8,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.8633,0,9,9,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.1344,0,10,10,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.5887,0,11,11,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,f,1.1677,space,2.6509,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.7427,0,12,12,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.8343,0,13,13,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.2648,0,14,14,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.6709,0,15,15,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.6146,0,16,16,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.1838,0,17,17,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,2.0531,space,3.0177,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.4809,0,18,18,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e363914b3f2835e3ae5cc62,2023-06-16_05h28.09.685,phx_ver10,2022.2.5,Win32,59.08070424,,,,,space,0.6241,0,19,19,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
