participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,space,3.1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,space,1.2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.852,0,0,0,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.9626,0,1,1,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,1.0254,0,2,2,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,1.2061,0,3,3,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.7754,0,4,4,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.4306,0,5,5,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,f,0.815,space,1.9122,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,1.4608,0,6,6,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.5505,0,7,7,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.6526,0,8,8,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.582,0,9,9,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.6563,0,10,10,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.5784,0,11,11,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,1.2097,space,1.6791,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.552,0,12,12,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.3592,0,13,13,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.7325,0,14,14,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.2137,0,15,15,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.1512,0,16,16,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.1759,0,17,17,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,0.3748,space,0.8003,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.6265,0,18,18,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.6776,0,19,19,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.5506,0,20,20,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.1815,0,21,21,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.2071,0,22,22,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.1409,0,23,23,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_axa.wav,ezhe.jpg,LEFT,,f,0.4658,space,0.9506,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.3824,0,24,24,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37280e334b216bade0226a,2023-06-16_10h33.38.445,phx_ver10,2022.2.5,Win32,39.94567388,,,,,space,0.5172,0,25,25,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
