participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,space,8.6793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,space,1.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,7.6321,0,0,0,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,9.6388,0,1,1,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,7.4541,0,2,2,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,9.465,0,3,3,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.8329,0,4,4,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,7.3514,0,5,5,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,j,5.0528,space,6.8983,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.2308,0,6,6,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.0167,0,7,7,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.148,0,8,8,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.0871,0,9,9,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.0509,0,10,10,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,6.0838,0,11,11,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e37f48dfbcc9d75be926c70,2023-06-16_10h15.10.754,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_azha.wav,ixi.jpg,LEFT,,f,0.9665,space,2.4327,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
