participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,space,5.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,,,space,1.4051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,,,,,space,2.8001,0,0,0,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,,,,,space,1.6699,0,1,1,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,,,,,space,1.7246,0,2,2,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,,,,,space,2.5099,0,3,3,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,,,,,space,0.9391,0,4,4,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,,,,,space,1.1032,0,5,5,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3a9e0dfbce8a296258c297,2023-06-16_10h45.06.179,phx_ver10,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,2.082,space,3.1207,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
