participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,space,18.4888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,space,5.9684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,1.8628,0,0,0,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,1.0149,0,1,1,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.9495,0,2,2,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.8325,0,3,3,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.7497,0,4,4,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.9032,0,5,5,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,j,3.8873,space,5.3712,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,1.9149,0,6,6,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.8082,0,7,7,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,1.0413,0,8,8,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.4344,0,9,9,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.7984,0,10,10,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,2.3123,0,11,11,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,0.8156,space,2.1115,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.5437,0,12,12,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.7241,0,13,13,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.3846,0,14,14,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.4437,0,15,15,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.745,0,16,16,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.5825,0,17,17,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,3.1424,space,4.2071,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.5177,0,18,18,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,1.2017,0,19,19,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.8248,0,20,20,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.639,0,21,21,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.3668,0,22,22,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.7716,0,23,23,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_ixi.wav,ezhe.jpg,LEFT,,f,1.3319,space,2.0956,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.6136,0,24,24,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.9833,0,25,25,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.2119,0,26,26,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.2898,0,27,27,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.5547,0,28,28,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.1658,0,29,29,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_ixi.wav,axa.jpg,LEFT,,f,1.5401,space,4.4002,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.6815,0,30,30,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.3173,0,31,31,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.1343,0,32,32,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.7901,0,33,33,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.6334,0,34,34,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.3174,0,35,35,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,j,1.0065,space,2.1374,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5e3d2ab94aebac111b5f6cd2,2023-06-16_10h30.38.492,phx_ver10,2022.2.5,Win32,60.00960154,,,,,space,0.2877,0,36,36,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
