participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,space,6.6504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,,,space,3.1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,,,,,space,2.6646,0,0,0,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,,,,,space,1.6056,0,1,1,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,,,,,space,1.7528,0,2,2,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,,,,,space,0.9905,0,3,3,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,,,,,space,1.5175,0,4,4,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,,,,,space,1.9195,0,5,5,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e71ab071b6e9c0d4c356574,2023-06-16_19h22.08.656,phx_ver10,2022.2.5,Linux x86_64,60.0240096,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_exe.wav,axa.jpg,LEFT,,f,4.2746,space,5.9477,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
