participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,space,4.2514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,,,space,1.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,,,,,space,1.1452,0,0,0,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,,,,,space,2.0104,0,1,1,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,,,,,space,1.1662,0,2,2,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,,,,,space,0.9736,0,3,3,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,,,,,space,0.8622,0,4,4,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,,,,,space,0.9805,0,5,5,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea8d68a37c5173456c94f50,2023-06-16_09h29.22.053,phx_ver10,2022.2.5,Win32,7.861202607,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,f,3.9406,space,6.1324,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
