participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,space,6.4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,,,space,9.3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,,,,,space,2.0481,0,0,0,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,,,,,space,1.9794,0,1,1,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,,,,,space,2.6827,0,2,2,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,,,,,space,1.765,0,3,3,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,,,,,space,1.33,0,4,4,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,,,,,space,3.1514,0,5,5,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eac3dc896a6242689110c31,2023-06-16_10h17.57.655,phx_ver10,2022.2.5,Linux x86_64,60.0528465,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,3.66,space,4.8471,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
