participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,space,1.6149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,,,space,40.4499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.2167,0,0,0,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.9826,0,1,1,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.9995,0,2,2,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.534,0,3,3,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.0342,0,4,4,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.8592,0,5,5,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ebcb35ca857831117df7c04,2023-06-16_10h09.13.765,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_izhi.wav,azha.jpg,LEFT,,f,2.1669,space,3.7977,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
