participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,space,2.6373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,,,space,2.0332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,,,,,space,3.0839,0,0,0,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,,,,,space,4.0747,0,1,1,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,,,,,space,2.851,0,2,2,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,,,,,space,2.4722,0,3,3,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,,,,,space,1.6698,0,4,4,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,,,,,space,2.7703,0,5,5,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ecd22e76997ec03464c71aa,2023-06-16_10h10.32.139,phx_ver10,2022.2.5,Win32,59.19261276,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,azha.jpg,LEFT,,j,2.9227,space,4.026,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
