participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,space,4.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,space,3.2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,2.9014,0,0,0,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,2.3509,0,1,1,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,1.6523,0,2,2,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,1.3189,0,3,3,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,1.037,0,4,4,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,1.8498,0,5,5,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,f,5.8841,space,7.6983,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,1.6769,0,6,6,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,1.8849,0,7,7,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,1.0491,0,8,8,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,1.0343,0,9,9,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,0.7725,0,10,10,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,space,0.8037,0,11,11,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ee454ad40c72e152991826e,2023-06-16_20h59.26.142,phx_ver10,2022.2.5,Win32,60.02040694,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_izhi.wav,azha.jpg,LEFT,,f,0.6527,space,2.5885,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
