participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,space,2.8722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,space,33.6333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,1.0663,0,0,0,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,0.1505,0,1,1,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,5.8367,0,2,2,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,0.0843,0,3,3,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,0.1519,0,4,4,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,0.0627,0,5,5,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_ezhe.wav,exe.jpg,LEFT,,f,2.2278,space,3.3619,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,0.7008,0,6,6,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,0.9004,0,7,7,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,0.3408,0,8,8,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,0.718,0,9,9,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f4380bb7ca9ca5ca407fc04,2023-06-16_09h56.01.569,phx_ver10,2022.2.5,MacIntel,59.97361161,,,,,space,5.1677,0,10,10,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
