participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,space,2.2427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,space,165.2915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,2.3137,0,0,0,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,1.1347,0,1,1,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.5564,0,2,2,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.7571,0,3,3,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.516,0,4,4,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.3159,0,5,5,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,0.26,space,1.2884,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.6532,0,6,6,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.5712,0,7,7,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.3573,0,8,8,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.1398,0,9,9,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.5001,0,10,10,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.2373,0,11,11,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_azha.wav,exe.jpg,LEFT,,f,3.2575,space,3.6675,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.5381,0,12,12,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.4597,0,13,13,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.1131,0,14,14,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.0835,0,15,15,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.3334,0,16,16,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.2606,0,17,17,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,f,4.5854,space,5.2438,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.6526,0,18,18,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.388,0,19,19,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.3144,0,20,20,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.2747,0,21,21,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f61ba7cfdaccd165da6985b,2023-06-16_21h11.25.682,phx_ver10,2022.2.5,Win32,142.7347987,,,,,space,0.2571,0,22,22,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
