participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,space,3.3977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,space,180.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,2.7916,0,0,0,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,5.0002,0,1,1,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,1.2537,0,2,2,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.9944,0,3,3,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.7205,0,4,4,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.6352,0,5,5,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_ixi.wav,ezhe.jpg,LEFT,,f,3.0564,space,4.4962,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,1.1391,0,6,6,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.9411,0,7,7,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.7141,0,8,8,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.3964,0,9,9,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fefa78a509c7eb209f4b47e,2023-06-16_09h48.07.485,phx_ver10,2022.2.5,Win32,144.2793248,,,,,space,0.4307,0,10,10,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
