participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,space,17.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,space,1.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,,,space,1.111,0,0,0,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,,,space,0.938,0,1,1,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,,,space,0.954,0,2,2,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,,,space,1.061,0,3,3,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,,,space,0.88,0,4,4,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,,,space,0.182,0,5,5,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_exe.wav,axa.jpg,LEFT,,f,0.359,space,2.475,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5ffcd1eacfbe9e161495d884,2023-06-16_13h56.24.471,phx_ver10,2022.2.5,MacIntel,119.047619,,,,,space,0.646,0,6,6,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
