participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,space,4.4651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,space,47.9503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,space,2.3402,0,0,0,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,space,14.881,0,1,1,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,space,10.854,0,2,2,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,space,0.7168,0,3,3,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,space,0.4516,0,4,4,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,space,14.0561,0,5,5,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_exe.wav,azha.jpg,LEFT,,f,3.4926,space,6.1955,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,space,11.5028,0,6,6,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601f15c863401440ef711b68,2023-06-16_09h33.33.357,phx_ver10,2022.2.5,Win32,59.96641881,,,,,space,5.1662,0,7,7,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
