participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,space,1.1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,,,space,0.8491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,,,,,space,9.4117,0,0,0,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,,,,,space,0.8157,0,1,1,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,,,,,space,1.0834,0,2,2,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,,,,,space,1.858,0,3,3,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,,,,,space,1.2673,0,4,4,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,,,,,space,1.8013,0,5,5,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603758e41c4468b882a74700,2023-06-16_10h22.49.006,phx_ver10,2022.2.5,Win32,59.94844434,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_8_exe.wav,azha.jpg,LEFT,,f,8.2962,space,14.8601,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
