participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,space,1.4495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,,,space,2.7308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,1.581,0,0,0,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,1.9645,0,1,1,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,1.1386,0,2,2,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,1.8651,0,3,3,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,0.6829,0,4,4,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,1.0262,0,5,5,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60575f42c2d3d51a122da250,2023-06-16_10h22.57.948,phx_ver10,2022.2.5,Win32,60.13952369,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,f,1.0345,space,2.1336,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
