participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,space,171.9038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,space,8.1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,15.1784,0,0,0,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,7.8243,0,1,1,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,5.2648,0,2,2,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,1.5895,0,3,3,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,1.1869,0,4,4,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,0.6477,0,5,5,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_izhi.wav,izhi.jpg,RIGHT,,j,1.9223,space,3.8654,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,2.3951,0,6,6,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,0.2996,0,7,7,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,0.0417,0,8,8,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,0.4232,0,9,9,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606a4f1c6e098bf633fd64db,2023-06-16_10h18.47.880,phx_ver10,2022.2.5,Linux x86_64,20.02242512,,,,,space,0.3542,0,10,10,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
