participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,space,6.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,space,4.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,4.343,0,0,0,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,2.402,0,1,1,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.452,0,2,2,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,2.154,0,3,3,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.952,0,4,4,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,0.971,0,5,5,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,6.782,space,8.278,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.952,0,6,6,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.789,0,7,7,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.452,0,8,8,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.719,0,9,9,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.003,0,10,10,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60977fd69248772da45d3bd3,2023-06-16_20h44.53.851,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,0.601,0,11,11,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
