participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,space,10.6256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,space,3.9662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,4.3193,0,0,0,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,2.8922,0,1,1,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,5.7705,0,2,2,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,2.5697,0,3,3,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,2.7218,0,4,4,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,1.2611,0,5,5,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,exe.jpg,LEFT,,f,2.8044,space,4.1538,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,1.8612,0,6,6,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,1.3632,0,7,7,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,1.9799,0,8,8,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609cd482af38301896f8a663,2023-06-16_11h18.30.628,phx_ver10,2022.2.5,Win32,59.63740458,,,,,space,1.5357,0,9,9,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
