participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,space,6.3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,space,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,1.2129,0,0,0,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,1.7364,0,1,1,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,1.332700001,0,2,2,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,1.4223,0,3,3,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.8834,0,4,4,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.6167,0,5,5,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,0.5457,space,1.4143,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.8479,0,6,6,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.9217,0,7,7,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.7646,0,8,8,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.8368,0,9,9,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.9036,0,10,10,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.4341,0,11,11,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_axa.wav,ezhe.jpg,LEFT,,f,0.3326,space,0.9397,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.4987,0,12,12,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,1.3172,0,13,13,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.4868,0,14,14,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.1749,0,15,15,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.188099999,0,16,16,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.5665,0,17,17,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,0.2229,space,0.839,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.4033,0,18,18,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.100599999,0,19,19,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.4475,0,20,20,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.1545,0,21,21,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.423200001,0,22,22,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,space,0.1873,0,23,23,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60c9b0886e03c28f26d97b19,2023-06-16_10h14.26.973,phx_ver10,2022.2.5,Win32,60.0060006,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_ezhe.wav,ixi.jpg,LEFT,,f,0.8019,space,1.1522,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
