participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,space,13.9945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,space,3.1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,4.2155,0,0,0,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,3.316799999,0,1,1,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,1.3626,0,2,2,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.1006,0,3,3,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,1.0839,0,4,4,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.9516,0,5,5,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,j,1.5169,space,4.0015,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,1.6175,0,6,6,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,1.449900001,0,7,7,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.4363,0,8,8,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.4413,0,9,9,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,1.0362,0,10,10,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.3975,0,11,11,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,j,0.1345,space,0.9507,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,1.160799999,0,12,12,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.4888,0,13,13,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.7674,0,14,14,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.6061,0,15,15,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.2014,0,16,16,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.6508,0,17,17,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,exe.jpg,LEFT,,f,0.434599999,space,0.8517,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.9835,0,18,18,21,1,22,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.1505,0,19,19,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.2542,0,20,20,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.0348,0,21,21,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d1c82e42c14a1bfe66293c,2023-06-16_10h31.00.221,phx_ver10,2022.2.5,Win32,60.12867537,,,,,space,0.5757,0,22,22,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
