participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,space,7.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,,,space,1.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,,,,,space,1.797,0,0,0,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,,,,,space,1.419,0,1,1,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,,,,,space,0.408,0,2,2,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,,,,,space,0.573,0,3,3,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,,,,,space,0.513,0,4,4,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,,,,,space,0.453,0,5,5,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d9f1f5e766b5f3eb00a7c4,2023-06-16_10h26.47.745,phx_ver10,2022.2.5,MacIntel,52.63157895,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_exe.wav,ezhe.jpg,LEFT,,f,0.539,space,2.178,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
