participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,space,6.8733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,space,4.1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,2.7952,0,0,0,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,3.3819,0,1,1,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,3.3178,0,2,2,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,2.0203,0,3,3,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,3.411,0,4,4,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,1.4862,0,5,5,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,j,14.7321,space,18.8405,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,2.0698,0,6,6,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,1.3709,0,7,7,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,1.3833,0,8,8,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,0.6529,0,9,9,4,1,5,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,0.65,0,10,10,37,1,38,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,2.5941,0,11,11,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,,,,,,,,,attn_test,,,,zh2x_1_azha.wav,zh2x_1_ezhe.wav,ezhe.jpg,RIGHT,,f,4.9553,space,7.7317,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,2.6742,0,12,12,8,1,9,training,zh2x,a,zh2x_a,zh2x_5_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,1.962,0,13,13,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,1.378,0,14,14,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,1.3668,0,15,15,32,1,33,training,zh2x,i,zh2x_i,zh2x_1_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,1.3163,0,16,16,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,1.2813,0,17,17,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_8_exe.wav,ixi.jpg,LEFT,,j,4.8368,space,6.9234,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,2.6608,0,18,18,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,0.7166,0,19,19,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,0.0132,0,20,20,23,1,24,training,zh2x,e,zh2x_e,zh2x_4_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,1.3871,0,21,21,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,0.6603,0,22,22,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,space,46.0987,0,23,23,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611578fe8cbea39bf4928b6d,2023-06-16_13h57.41.248,phx_ver10,2022.2.5,Win32,2.233883092,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,exe.jpg,LEFT,,f,6.0367,space,7.4236,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
