participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,space,8.9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,space,8.3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,1.7869,0,0,0,1,1,2,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,2.269,0,1,1,26,1,27,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,1.3502,0,2,2,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.4841,0,3,3,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.3839,0,4,4,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.3341,0,5,5,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,,,,,,,,,attn_test,,,,zh2x_8_axa.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,f,5.1651,space,6.3188,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,1.9668,0,6,6,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.7173,0,7,7,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.1004,0,8,8,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,1.3675,0,9,9,3,1,4,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.0005,0,10,10,10,1,11,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.1269,0,11,11,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_azha.wav,ixi.jpg,LEFT,,f,0.6339,space,1.3503,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.5228,0,12,12,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.0231,0,13,13,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.1368,0,14,14,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.8843,0,15,15,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.4338,0,16,16,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.3838,0,17,17,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,exe.jpg,LEFT,,f,0.4526,space,1.2072,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.5406,0,18,18,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.6136,0,19,19,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.0674,0,20,20,17,1,18,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.2845,0,21,21,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.3425,0,22,22,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.084,0,23,23,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_azha.wav,azha.jpg,RIGHT,,f,0.9083,space,1.3526,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.2337,0,24,24,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.1008,0,25,25,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.4506,0,26,26,40,1,41,training,zh2x,i,zh2x_i,zh2x_5_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.1674,0,27,27,2,1,3,training,zh2x,a,zh2x_a,zh2x_2_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.117,0,28,28,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.5508,0,29,29,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_ixi.wav,ixi.jpg,RIGHT,,f,1.638,space,3.5999,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.4505,0,30,30,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.0515,0,31,31,22,1,23,training,zh2x,e,zh2x_e,zh2x_3_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611b750d4bb9b61a0400fd61,2023-06-16_10h27.03.512,phx_ver10,2022.2.5,Win32,58.7509547,,,,,space,0.8165,0,32,32,12,1,13,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
