participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,space,8.8773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,space,3.5353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,11.6452,0,0,0,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,11.9298,0,1,1,35,1,36,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,5.9386,0,2,2,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.3346,0,3,3,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.7374,0,4,4,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,12.2686,0,5,5,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,,,,,,,,,attn_test,,,,zh2x_8_ixi.wav,zh2x_1_izhi.wav,ixi.jpg,LEFT,,j,11.3699,space,12.3218,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.9236,0,6,6,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,11.431,0,7,7,9,1,10,training,zh2x,a,zh2x_a,zh2x_6_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,1.6341,0,8,8,7,1,8,training,zh2x,a,zh2x_a,zh2x_4_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,10.0413,0,9,9,13,1,14,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,0.6503,0,10,10,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,space,8.6118,0,11,11,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6122b9ffce05d8e56860755a,2023-06-16_10h02.49.687,phx_ver10,2022.2.5,MacIntel,59.95203837,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,11.6942,space,13.3496,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
