participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,space,14.5013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,space,5.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,1.0196,0,0,0,20,1,21,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,0.5265,0,1,1,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,0.7692,0,2,2,33,1,34,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,1.1013,0,3,3,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,10.3112,0,4,4,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,2.7958,0,5,5,11,1,12,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_exe.wav,izhi.jpg,LEFT,,f,2.1307,space,3.1111,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,1.021,0,6,6,47,1,48,training,zh2x,i,zh2x_i,zh2x_8_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,0.6653,0,7,7,39,1,40,training,zh2x,i,zh2x_i,zh2x_4_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,0.8174,0,8,8,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136001fcd0e07e6f5f66bc1,2023-06-16_10h28.58.472,phx_ver10,2022.2.5,Win32,59.60185958,,,,,space,0.6021,0,9,9,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
