participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,space,9.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,space,6.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,6.6033,0,0,0,24,1,25,training,zh2x,e,zh2x_e,zh2x_5_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.3009,0,1,1,18,1,19,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.2667,0,2,2,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.0522,0,3,3,28,1,29,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.985,0,4,4,42,1,43,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.885,0,5,5,41,1,42,training,zh2x,i,zh2x_i,zh2x_6_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_8_exe.wav,zh2x_1_ezhe.wav,exe.jpg,LEFT,,f,5.0357,space,7.7116,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.1514,0,6,6,0,1,1,training,zh2x,a,zh2x_a,zh2x_1_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.3885,0,7,7,30,1,31,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.4002,0,8,8,29,1,30,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.6184,0,9,9,38,1,39,training,zh2x,i,zh2x_i,zh2x_3_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,1.118,0,10,10,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.5996,0,11,11,36,1,37,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_ixi.wav,izhi.jpg,LEFT,,f,1.1516,space,2.1178,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,2.8144,0,12,12,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.6339,0,13,13,5,1,6,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613a8fbbdb47cba39c6c246d,2023-06-16_10h04.22.261,phx_ver10,2022.2.5,MacIntel,60.0024001,,,,,space,0.7873,0,14,14,34,1,35,training,zh2x,i,zh2x_i,zh2x_2_izhi.wav,,izhi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
