participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,space,2.5665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,,,space,1.7487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,0.7962,0,0,0,46,1,47,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,1.8802,0,1,1,16,1,17,training,zh2x,e,zh2x_e,zh2x_1_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,0.4879,0,2,2,31,1,32,training,zh2x,e,zh2x_e,zh2x_8_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,1.2826,0,3,3,44,1,45,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,0.5271,0,4,4,25,1,26,training,zh2x,e,zh2x_e,zh2x_6_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,,,,,space,0.2512,0,5,5,19,1,20,training,zh2x,e,zh2x_e,zh2x_2_ezhe.wav,,ezhe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613cb18edb7eb18d77d8d1e1,2023-06-16_10h15.05.724,phx_ver10,2022.2.5,Win32,60.13952369,,,,,,,,,,,,,attn_test,,,,zh2x_1_ezhe.wav,zh2x_8_exe.wav,exe.jpg,RIGHT,,f,2.2324,space,3.4321,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
