participant,date,expName,psychopyVersion,OS,frameRate,space_1.keys,space_1.rt,space_2.keys,space_2.rt,space_train.keys,space_train.rt,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,token_id,task,continuum,vowel,series,sound_1,sound_2,img,same,trained,FJ_attn.keys,FJ_attn.rt,space_attn.keys,space_attn.rt,if_attn_test.thisRepN,if_attn_test.thisTrialN,if_attn_test.thisN,if_attn_test.thisIndex,if_attn_test.ran,space_trans_1.keys,space_trans_1.rt,space_trans_11.keys,space_trans_11.rt,FJ_test.keys,FJ_test.rt,space_test.keys,space_test.rt,testing_pre.thisRepN,testing_pre.thisTrialN,testing_pre.thisN,testing_pre.thisIndex,testing_pre.ran,space_trans_2.keys,space_trans_2.rt,testing_all.thisRepN,testing_all.thisTrialN,testing_all.thisN,testing_all.thisIndex,testing_all.ran,space_ending.keys,space_ending.rt
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,space,4.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,,,space,1.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,,,,,space,1.383,0,0,0,14,1,15,training,zh2x,a,zh2x_a,zh2x_7_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,,,,,space,0.191,0,1,1,45,1,46,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,,,,,space,0.352,0,2,2,27,1,28,training,zh2x,e,zh2x_e,zh2x_7_exe.wav,,exe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,,,,,space,0.001,0,3,3,6,1,7,training,zh2x,a,zh2x_a,zh2x_3_azha.wav,,azha.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,,,,,space,0.341,0,4,4,15,1,16,training,zh2x,a,zh2x_a,zh2x_8_axa.wav,,axa.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,,,,,space,0.508,0,5,5,43,1,44,training,zh2x,i,zh2x_i,zh2x_7_ixi.wav,,ixi.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614894e91052a368b434202c,2023-06-16_10h01.41.692,phx_ver10,2022.2.5,MacIntel,76.92307692,,,,,,,,,,,,,attn_test,,,,zh2x_1_izhi.wav,zh2x_8_axa.wav,axa.jpg,RIGHT,,j,2.463,space,5.026,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
